2,BOS
3,EOS
4,.
5,Ein
6,einem
7,in
8,","
9,und
10,mit
11,auf
12,Mann
13,einer
14,Eine
15,ein
16,der
17,Frau
18,eine
19,die
20,einen
21,Zwei
22,im
23,an
24,von
25,sich
26,dem
27,Mädchen
28,vor
29,zu
30,steht
31,Männer
32,sitzt
33,Hund
34,den
35,Junge
36,Straße
37,während
38,Gruppe
39,hält
40,spielt
41,Hemd
42,Personen
43,über
44,das
45,eines
46,Frauen
47,blauen
48,ist
49,neben
50,Kind
51,roten
52,weißen
53,stehen
54,Menschen
55,aus
56,am
57,sitzen
58,durch
59,spielen
60,Drei
61,geht
62,trägt
63,bei
64,fährt
65,Wasser
66,um
67,Kinder
68,Person
69,kleines
70,macht
71,springt
72,schwarzen
73,entlang
74,zwei
75,kleiner
76,Leute
77,gehen
78,etwas
79,seinem
80,großen
81,Oberteil
82,Hand
83,grünen
84,Mehrere
85,junge
86,läuft
87,sind
88,Der
89,Hintergrund
90,Fahrrad
91,für
92,Jungen
93,Jacke
94,Freien
95,Luft
96,Strand
97,Ball
98,hat
99,anderen
100,schaut
101,Kleidung
102,junger
103,hinter
104,nach
105,andere
106,gelben
107,Gebäude
108,Hut
109,Tisch
110,wird
111,sie
112,Nähe
113,beim
114,kleine
115,kleinen
116,Menschenmenge
117,schwarzer
118,Kamera
119,vorbei
120,Gras
121,hoch
122,T-Shirt
123,Hunde
124,Boden
125,Schnee
126,Die
127,rennt
128,ihre
129,Vier
130,unter
131,ihren
132,Kleid
133,Gitarre
134,älterer
135,zusammen
136,sein
137,Feld
138,ihr
139,Bühne
140,draußen
141,fahren
142,Brille
143,seine
144,herum
145,Gehweg
146,sehen
147,Kopf
148,blickt
149,seinen
150,dabei
151,Foto
152,des
153,er
154,Stadt
155,weißer
156,Park
157,braunen
158,hinunter
159,liegt
160,versucht
161,arbeitet
162,Jeans
163,Bank
164,Baby
165,als
166,tragen
167,laufen
168,Paar
169,Dame
170,wie
171,machen
172,lächelt
173,schauen
174,Essen
175,große
176,brauner
177,ihrem
178,orangefarbenen
179,ihm
180,junges
181,ältere
182,Bürgersteig
183,Hose
184,zeigt
185,sieht
186,spricht
187,arbeiten
188,liest
189,unterhalten
190,Skateboard
191,halten
192,Haaren
193,Wand
194,Sonnenbrille
195,zum
196,drei
197,Boot
198,Pferd
199,gekleidete
200,seiner
201,Hosen
202,Tag
203,Helm
204,weißem
205,grauen
206,singt
207,ihnen
208,Gesicht
209,blauem
210,rosa
211,„
212,Bild
213,Mantel
214,Auto
215,posiert
216,Felsen
217,Fußball
218,darauf
219,klettert
220,führt
221,Shorts
222,befindet
223,Sand
224,Mikrofon
225,Baum
226,schwarzem
227,wirft
228,blauer
229,gekleideter
230,Das
231,sehr
232,Band
233,“
234,Meer
235,rennen
236,oder
237,Weg
238,rotem
239,Restaurant
240,isst
241,Wald
242,Männern
243,Arbeiter
